id,title,place,description,siteUrl,favoritesCount,commentsCount,rating
51256,"Одинокий дикарь: рецензия на фильм «Чёрный пёс»","","<p>В российский прокат выходит китайский фильм «Чёрный пёс» — нетипичная история о дружбе человека и собаки. Чем хорош лауреат Каннского фестиваля, рассказываем в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>",https://kudago.com/all/news/retsenziya-na-film-chyornyij-pyos/,0,0,0.5
51255,"Звёзды «Гарри Поттера» появились в новом трейлере кулинарного шоу по миру Джоан Роулинг","","<p>В роли ведущих близнецы Уизли.</p>",https://kudago.com/all/news/zvyozdyi-filmov-pro-garri-pottera/,0,0,0.5
51254,"В Петербурге побит температурный рекорд","","<p>Лето продолжается.</p>",https://kudago.com/spb/news/v-peterburge-pobit-temperaturnyij/,0,0,0.5
51246,"Школьников Приморья будут учить корейскому языку","","<p>В регион пригласили педагогов из Северной Кореи.</p>",https://kudago.com/all/news/shkolnikov-primorya-budut-uchit/,0,0,0.5
51249,"Попытка повторить: рецензия на фильм «Счастливые дни»","","<p>Сейчас на больших экранах можно увидеть медленное, тягучее итальянское кино о попытке возродить былые отношения. Режиссёр и сценарист Симоне Петралья берёт на главные роли Анну Гальена и Франко Неро. Но тандем прекрасных актёров, кажется, не показывает максимально слаженной работы. А в самом сюжете угадываются связи с великой «Любовью» Михаэля Ханеке. Подробнее о том, каким получился фильм, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a><em>.</em></p>",https://kudago.com/all/news/popyitka-povtorit-retsenziya-na/,0,0,0.5
51244,"Кровь и мёд: рецензия на фильм «Пчеловод» с Джейсоном Стэйтемом","","<p>«Пчеловод» — боевик от режиссёра «Патруля», «Ярости» и «Отряда самоубийц» Дэвида Эйра. А любимый, почти что народный, актёр для российского зрителя — Джейсон Стэйтем — пробует себя в новой роли. Перевозчиком, механиком и шпионом он уже был. А вот пчеловод — это нечто новое в фильмографии Стэйтема. Каким получился фильм, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>",https://kudago.com/all/news/krov-i-myod-retsenziya-na-film/,0,0,0.5
51243,"Сильвестр Сталлоне пишет сценарий к приквелу «Рокки»","","<p>В нём главному герою 17 лет.</p>",https://kudago.com/all/news/silvestr-stallone-pishet/,0,0,0.5
51241,"В Ленобласти в объектив камеры попал готовящийся к зиме медведь","","<p>Он отъедается ягодами перед спячкой.</p>",https://kudago.com/spb/news/v-lenoblasti-v-obektiv-kameryi/,0,0,0.5
51240,"Эрмитаж объявил тему ежегодного конкурса авторской ёлочной игрушки","","<p>Работы можно присылать до конца ноября.</p>",https://kudago.com/spb/news/ermitazh-obyavil-temu-ezhegodnogo/,0,0,0.5
51238,"Стала известна дата премьеры шоу «Вызов. Китайский сезон»","","<p>Команды из России и Китая сразятся за 10 000 000 рублей.</p>",https://kudago.com/all/news/stala-izvestna-data-premeryi-shou/,0,0,0.5
51239,"В Петербурге расширят список объектов культурного наследия","","<p>Его пополнят более 30 памятников истории и культуры.</p>",https://kudago.com/spb/news/v-peterburge-rasshiryat-spisok/,0,0,0.5
51235,"Работодатели рассказали, нужно ли писать о хобби в резюме","","<p>Мнения разделились.</p>",https://kudago.com/all/news/rabotodateli-rasskazali-nuzhno/,0,0,0.5
51232,"Вход на станцию «Звёздная» ограничат из-за ремонтных работ","","<p>Их завершат в середине октября.</p>",https://kudago.com/spb/news/vhod-na-stantsiyu-zvyozdnaya-ogranichat-iz-za-remonta/,0,0,0.5
51185,"«Главная наша миссия — познакомить людей»: интервью с группой Settlers","","<p>Команда Settlers, лихо сочетающая русский фолк с инди и соулом, выступит <a href="https://kudago.com/spb/event/festival-storonyi-sveta/">на фестивале «Стороны света»</a>. По этому случаю участники коллектива рассказали KudaGo о хороводах со зрителями и поделились гастрольной байкой. </p>",https://kudago.com/spb/news/settlers-interview/,0,0,0.5
51227,"В Калифорнии запретили создавать цифровых двойников умерших актёров при помощи ИИ","","<p>Закон поддержал профсоюз актёров.</p>",https://kudago.com/all/news/v-kalifornii-zapretili-sozdavat/,0,0,0.5
51226,"В Сестрорецке благоустроили пляж","","<p>Там появилась детская площадка.</p>",https://kudago.com/spb/news/v-sestroretske-blagoustroili-plyazh/,0,0,0.5
51062,"Go по работам: дизайнеры бренда Wearnost про дружбу с клиентами, уникальные материалы и мечты, ставшие реальностью","","<p>Анастасию Нефедьеву и Юлию Юсупову объединила общая цель — создавать качественные и комфортные пижамы для дома. Так появился на свет бренд одежды из тенселя с нежным названием Wearnost («Верность»). Мы поговорили с Анастасией и Юлией о том, как они решили шить одежду из этой ткани, как успевают совмещать в себе столько ролей и как сделали так, чтобы покупатели возвращались.</p>",https://kudago.com/all/news/go-po-rabotam-proizvoditeli-i/,0,0,0.5
51225,"В Петербурге лося вытащили из Невы","","<p>Животному помогли вернуться в лес.</p>",https://kudago.com/spb/news/v-peterburge-losyu-pomogli/,0,0,0.5
51223,"Осень не спешит в Москву и Петербург","","<p>Жителям мегаполисов обещают летнюю погоду.</p>",https://kudago.com/all/news/osen-ne-speshit-v-moskvu-i/,0,0,0.5
51222,"Боксёры и блогеры соревнуются в бисероплетении в новом шоу","","<p>Победителя ждёт денежный приз.</p>",https://kudago.com/all/news/bojtsyi-pletut-iz-bisera-ot/,0,0,0.5
51218,"10AGE и Анет Сай вместе озвучили книгу и выпустили к ней трек","","<p>Обе работы — о любви.</p>",https://kudago.com/all/news/10age-i-anet-saj-vmeste-ozvuchili/,0,0,0.5
